pop,scenario,date,covid_region,persons_above65_first_vaccinated_perc
109686,continued_trend,2021-05-01,3,0.765611705252616
109686,continued_trend,2021-05-02,3,0.770943261964457
109686,continued_trend,2021-05-03,3,0.776274818676299
109686,continued_trend,2021-05-04,3,0.781606375388141
109686,continued_trend,2021-05-05,3,0.786937932099983
109686,continued_trend,2021-05-06,3,0.792269488811824
109686,continued_trend,2021-05-07,3,0.797601045523683
109686,continued_trend,2021-05-08,3,0.802932602235525
109686,continued_trend,2021-05-09,3,0.808264158947366
109686,continued_trend,2021-05-10,3,0.813595715659208
109686,continued_trend,2021-05-11,3,0.81892727237105
109686,continued_trend,2021-05-12,3,0.824258829082891
109686,continued_trend,2021-05-13,3,0.829590385794733
109686,continued_trend,2021-05-14,3,0.834921942506575
109686,continued_trend,2021-05-15,3,0.840253499218417
109686,continued_trend,2021-05-16,3,0.845585055930258
109686,continued_trend,2021-05-17,3,0.8509166126421
109686,continued_trend,2021-05-18,3,0.856248169353959
109686,continued_trend,2021-05-19,3,0.8615797260658
109686,continued_trend,2021-05-20,3,0.866911282777642
109686,continued_trend,2021-05-21,3,0.872242839489484
109686,continued_trend,2021-05-22,3,0.877574396201326
109686,continued_trend,2021-05-23,3,0.882905952913167
109686,continued_trend,2021-05-24,3,0.888237509625009
109686,continued_trend,2021-05-25,3,0.893569066336851
109686,continued_trend,2021-05-26,3,0.898900623048692
109686,continued_trend,2021-05-27,3,0.904232179760534
109686,continued_trend,2021-05-28,3,0.909563736472376
109686,continued_trend,2021-05-29,3,0.914895293184235
109686,continued_trend,2021-05-30,3,0.920226849896076
109686,continued_trend,2021-05-31,3,0.925558406607918
109686,continued_trend,2021-06-01,3,0.93088996331976
109686,continued_trend,2021-06-02,3,0.936221520031601
109686,continued_trend,2021-06-03,3,0.941553076743443
109686,continued_trend,2021-06-04,3,0.946884633455285
109686,continued_trend,2021-06-05,3,0.952216190167126
109686,continued_trend,2021-06-06,3,0.957547746878968
109686,continued_trend,2021-06-07,3,0.96287930359081
109686,continued_trend,2021-06-08,3,0.968210860302652
109686,continued_trend,2021-06-09,3,0.97354241701451
109686,continued_trend,2021-06-10,3,0.978873973726352
109686,continued_trend,2021-06-11,3,0.984205530438194
109686,continued_trend,2021-06-12,3,0.989537087150035
109686,continued_trend,2021-06-13,3,0.994868643861877
109686,continued_trend,2021-06-14,3,1
114266,continued_trend,2021-01-10,4,0
114266,continued_trend,2021-01-16,4,0.00312506374693638
114266,continued_trend,2021-01-17,4,0.0105923369749436
114266,continued_trend,2021-01-18,4,0.0180596102029346
114266,continued_trend,2021-01-19,4,0.0255268834309419
114266,continued_trend,2021-01-20,4,0.0329941566589328
114266,continued_trend,2021-01-21,4,0.0404614298869401
114266,continued_trend,2021-01-22,4,0.047928703114931
114266,continued_trend,2021-01-23,4,0.0553959763429383
114266,continued_trend,2021-01-24,4,0.0628632495709293
114266,continued_trend,2021-01-25,4,0.0703305227989365
114266,continued_trend,2021-01-26,4,0.0777977960269275
114266,continued_trend,2021-01-27,4,0.0852650692549348
114266,continued_trend,2021-01-28,4,0.0927323424829257
114266,continued_trend,2021-01-29,4,0.100199615710933
114266,continued_trend,2021-01-30,4,0.107666888938924
114266,continued_trend,2021-01-31,4,0.115134162166931
114266,continued_trend,2021-02-01,4,0.122601435394922
114266,continued_trend,2021-02-02,4,0.130068708622929
114266,continued_trend,2021-02-03,4,0.13753598185092
114266,continued_trend,2021-02-04,4,0.145003255078928
114266,continued_trend,2021-02-05,4,0.152470528306919
114266,continued_trend,2021-02-06,4,0.159937801534926
114266,continued_trend,2021-02-07,4,0.167405074762917
114266,continued_trend,2021-02-08,4,0.174872347990924
114266,continued_trend,2021-02-09,4,0.182339621218915
114266,continued_trend,2021-02-10,4,0.189806894446922
114266,continued_trend,2021-02-11,4,0.197274167674913
114266,continued_trend,2021-02-12,4,0.204741440902921
114266,continued_trend,2021-02-13,4,0.212208714130912
114266,continued_trend,2021-02-14,4,0.219675987358919
114266,continued_trend,2021-02-15,4,0.22714326058691
114266,continued_trend,2021-02-16,4,0.234610533814917
114266,continued_trend,2021-02-17,4,0.242077807042908
114266,continued_trend,2021-02-18,4,0.249545080270915
114266,continued_trend,2021-02-19,4,0.257012353498906
114266,continued_trend,2021-02-20,4,0.264479626726913
114266,continued_trend,2021-02-21,4,0.271946899954904
114266,continued_trend,2021-02-22,4,0.279414173182912
