date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2021-10-07,534084.152633771,predicted,6,continued_trend,739098,534084.152633771,0.72261615189565,205013.847366229,2046.67146474123,0.0099830889036736,2021-10-10,0.730923594743877
2021-10-08,536130.82409852,predicted,6,continued_trend,739098,536130.82409852,0.725385299511729,202967.17590148,2046.67146474868,0.0100837559356993,2021-10-10,0.730923594743877
2021-10-09,538177.495563261,predicted,6,continued_trend,739098,538177.495563261,0.728154447127798,200920.504436739,2046.67146474123,0.0101864738518295,2021-10-10,0.730923594743877
2021-10-10,540224.16702801,predicted,6,continued_trend,739098,540224.16702801,0.730923594743877,198873.83297199,0,0,2021-10-10,0.730923594743877
2021-10-11,542270.838492751,predicted,6,continued_trend,739098,542270.838492751,0.730923594743877,196827.161507249,0,0,2021-10-10,0.730923594743877
2021-10-12,544317.5099575,predicted,6,continued_trend,739098,544317.5099575,0.730923594743877,194780.4900425,0,0,2021-10-10,0.730923594743877
2021-10-13,546364.181422241,predicted,6,continued_trend,739098,546364.181422241,0.730923594743877,192733.818577759,0,0,2021-10-10,0.730923594743877
2021-10-14,548410.85288699,predicted,6,continued_trend,739098,548410.85288699,0.730923594743877,190687.14711301,0,0,2021-10-10,0.730923594743877
2021-10-15,550457.524351731,predicted,6,continued_trend,739098,550457.524351731,0.730923594743877,188640.475648269,0,0,2021-10-10,0.730923594743877
2021-10-16,552504.19581648,predicted,6,continued_trend,739098,552504.19581648,0.730923594743877,186593.80418352,0,0,2021-10-10,0.730923594743877
2021-10-17,554550.867281228,predicted,6,continued_trend,739098,554550.867281228,0.730923594743877,184547.132718772,0,0,2021-10-10,0.730923594743877
2021-10-18,556597.53874597,predicted,6,continued_trend,739098,556597.53874597,0.730923594743877,182500.46125403,0,0,2021-10-10,0.730923594743877
2021-10-19,558644.210210718,predicted,6,continued_trend,739098,558644.210210718,0.730923594743877,180453.789789282,0,0,2021-10-10,0.730923594743877
