covid_region,pop,scenario,date,persons_first_vaccinated,model,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2,1243906,trend_past30days,2021-10-23,709187.118951611,predicted,709187.118951611,0.570129188983421,534718.881048389,1566.88911290094,0.00293030444301657,,
2,1243906,trend_past30days,2021-10-24,710754.008064516,predicted,710754.008064516,0.571388841330869,533151.991935484,1566.88911290467,0.00293891636269883,,
2,1243906,trend_past30days,2021-10-25,712320.897177421,predicted,712320.897177421,0.572648493678317,531585.102822579,1566.88911290467,0.00294757905100217,,
2,1243906,trend_past30days,2021-10-26,713887.786290322,predicted,713887.786290322,0.573908146025762,530018.213709679,1566.88911290094,0.00295629295818732,,
2,1243906,trend_past30days,2021-10-27,715454.675403226,predicted,715454.675403226,0.57516779837321,528451.324596774,1566.88911290467,0.00296505853987642,,
2,1243906,trend_past30days,2021-10-28,717021.564516127,predicted,717021.564516127,0.576427450720655,526884.435483873,1566.88911290094,0.00297387625706188,,
2,1243906,trend_past30days,2021-10-29,718588.453629032,predicted,718588.453629032,0.577687103068103,525317.546370968,1566.88911290467,0.00298274657629304,,
2,1243906,trend_past30days,2021-10-30,720155.342741937,predicted,720155.342741937,0.578946755415551,523750.657258064,1566.88911290467,0.00299166996965242,,
2,1243906,trend_past30days,2021-10-31,721722.231854838,predicted,721722.231854838,0.580206407762996,522183.768145163,1566.88911290094,0.00300064691491016,,
2,1243906,trend_past30days,2021-11-01,723289.120967742,predicted,723289.120967742,0.581466060110444,520616.879032258,1566.88911290467,0.00300967789560965,,
2,1243906,trend_past30days,2021-11-02,724856.010080643,predicted,724856.010080643,0.582725712457889,519049.989919357,1566.88911290094,0.00301876340108278,,
2,1243906,trend_past30days,2021-11-03,726422.899193548,predicted,726422.899193548,0.583985364805337,517483.100806452,1566.88911290467,0.00302790392664574,,
2,1243906,trend_past30days,2021-11-04,727989.788306452,predicted,727989.788306452,0.585245017152785,515916.211693548,1566.88911290467,0.00303709997358136,,
2,1243906,trend_past30days,2021-11-05,729556.677419353,predicted,729556.677419353,0.58650466950023,514349.322580647,1566.88911290094,0.00304635204930257,,
2,1243906,trend_past30days,2021-11-06,731123.566532258,predicted,731123.566532258,0.587764321847678,512782.433467742,1566.88911290467,0.00305566066744608,,
2,1243906,trend_past30days,2021-11-07,732690.455645163,predicted,732690.455645163,0.589023974195126,511215.544354837,1566.88911290467,0.00306502634790205,,
2,1243906,trend_past30days,2021-11-08,734257.344758064,predicted,734257.344758064,0.590283626542571,509648.655241937,1566.88911290094,0.00307444961697607,,
2,1243906,trend_past30days,2021-11-09,735824.233870968,predicted,735824.233870968,0.591543278890019,508081.766129032,1566.88911290467,0.00308393100748816,,
2,1243906,trend_past30days,2021-11-10,737391.122983869,predicted,737391.122983869,0.592802931237464,506514.877016131,1566.88911290094,0.0030934710587998,,
2,1243906,trend_past30days,2021-11-11,738958.012096774,predicted,738958.012096774,0.594062583584912,504947.987903226,1566.88911290467,0.00310307031702632,,
2,1243906,trend_past30days,2021-11-12,740524.901209679,predicted,740524.901209679,0.59532223593236,503381.098790322,1566.88911290467,0.00311272933503079,,
2,1243906,trend_past30days,2021-11-13,742091.79032258,predicted,742091.79032258,0.596581888279805,501814.209677421,1566.88911290094,0.00312244867260371,,
2,1243906,trend_past30days,2021-11-14,743658.679435484,predicted,743658.679435484,0.597841540627253,500247.320564516,1566.88911290467,0.00313222889657155,,
2,1243906,trend_past30days,2021-11-15,745225.568548385,predicted,745225.568548385,0.599101192974698,498680.431451615,1566.88911290094,0.00314207058083243,,
2,1243906,trend_past30days,2021-11-16,746792.45766129,predicted,746792.45766129,0.600360845322146,497113.54233871,1566.88911290467,0.00315197430658017,,
2,1243906,trend_past30days,2021-11-17,748359.346774195,predicted,748359.346774195,0.601620497669594,495546.653225806,1566.88911290467,0.00316194066230669,,
2,1243906,trend_past30days,2021-11-18,749926.235887095,predicted,749926.235887095,0.602880150017039,493979.764112905,1566.88911290094,0.00317197024399326,,
2,1243906,trend_past30days,2021-11-19,751493.125,predicted,751493.125,0.604139802364487,492412.875,1566.88911290467,0.00318206365522971,,
2,1243906,trend_past30days,2021-11-20,753060.014112901,predicted,753060.014112901,0.605399454711932,490845.985887099,1566.88911290094,0.00319222150725981,,
2,1243906,trend_past30days,2021-11-21,754626.903225806,predicted,754626.903225806,0.60665910705938,489279.096774194,1566.88911290467,0.00320244441921826,,
2,1243906,trend_past30days,2021-11-22,756193.79233871,predicted,756193.79233871,0.607918759406828,487712.20766129,1566.88911290467,0.00321273301814265,,
2,1243906,trend_past30days,2021-11-23,757760.681451611,predicted,757760.681451611,0.609178411754273,486145.318548389,1566.88911290094,0.00322308793917756,,
2,1243906,trend_past30days,2021-11-24,759327.570564516,predicted,759327.570564516,0.610438064101721,484578.429435484,1566.88911290467,0.00323350982570569,,
2,1243906,trend_past30days,2021-11-25,760894.459677421,predicted,760894.459677421,0.61169771644917,483011.54032258,1566.88911290467,0.00324399932941192,,
2,1243906,trend_past30days,2021-11-26,762461.348790322,predicted,762461.348790322,0.612957368796614,481444.651209679,1566.88911290094,0.00325455711048814,,
2,1243906,trend_past30days,2021-11-27,764028.237903226,predicted,764028.237903226,0.614217021144063,479877.762096774,1566.88911290467,0.00326518383777218,,
2,1243906,trend_past30days,2021-11-28,765595.127016127,predicted,765595.127016127,0.615476673491508,478310.872983873,1566.88911290094,0.00327588018881137,,
2,1243906,trend_past30days,2021-11-29,767162.016129032,predicted,767162.016129032,0.616736325838956,476743.983870968,1566.88911290467,0.00328664685012313,,
2,1243906,trend_past30days,2021-11-30,768728.905241937,predicted,768728.905241937,0.617995978186404,475177.094758064,1566.88911290467,0.00329748451722499,,
2,1243906,trend_past30days,2021-12-01,770295.794354837,predicted,770295.794354837,0.619255630533849,473610.205645163,1566.88911290094,0.00330839389486232,,
2,1243906,trend_past30days,2021-12-02,771862.683467742,predicted,771862.683467742,0.620515282881297,472043.316532258,1566.88911290467,0.00331937569716145,,
2,1243906,trend_past30days,2021-12-03,773429.572580643,predicted,773429.572580643,0.621774935228742,470476.427419357,1566.88911290094,0.00333043064770661,,
2,1243906,trend_past30days,2021-12-04,774996.461693548,predicted,774996.461693548,0.62303458757619,468909.538306452,1566.88911290467,0.00334155947981728,,
2,1243906,trend_past30days,2021-12-05,776563.350806452,predicted,776563.350806452,0.624294239923638,467342.649193548,1566.88911290467,0.00335276293659162,,
2,1243906,trend_past30days,2021-12-06,778130.239919353,predicted,778130.239919353,0.625553892271083,465775.760080647,1566.88911290094,0.00336404177115109,,
2,1243906,trend_past30days,2021-12-07,779697.129032258,predicted,779697.129032258,0.626813544618531,464208.870967742,1566.88911290467,0.00337539674680959,,
2,1243906,trend_past30days,2021-12-08,781264.018145163,predicted,781264.018145163,0.628073196965979,462641.981854837,1566.88911290467,0.0033868286371735,,
2,1243906,trend_past30days,2021-12-09,782830.907258064,predicted,782830.907258064,0.629332849313424,461075.092741937,1566.88911290094,0.00339833822638936,,
2,1243906,trend_past30days,2021-12-10,784397.796370968,predicted,784397.796370968,0.630592501660872,459508.203629032,1566.88911290467,0.00340992630932361,,
2,1243906,trend_past30days,2021-12-11,785964.685483869,predicted,785964.685483869,0.631852154008317,457941.314516131,1566.88911290094,0.0034215936916645,,
2,1243906,trend_past30days,2021-12-12,787531.574596774,predicted,787531.574596774,0.633111806355765,456374.425403226,1566.88911290467,0.00343334119023049,,
2,1243906,trend_past30days,2021-12-13,789098.463709679,predicted,789098.463709679,0.634371458703213,454807.536290322,1566.88911290467,0.00344516963303893,,
2,1243906,trend_past30days,2021-12-14,790665.35282258,predicted,790665.35282258,0.635631111050658,453240.647177421,1566.88911290094,0.00345707985958194,,
2,1243906,trend_past30days,2021-12-15,792232.241935484,predicted,792232.241935484,0.636890763398106,451673.758064516,1566.88911290467,0.00346907272102547,,
2,1243906,trend_past30days,2021-12-16,793799.131048385,predicted,793799.131048385,0.638150415745551,450106.868951615,1566.88911290094,0.00348114908032958,,
2,1243906,trend_past30days,2021-12-17,795366.02016129,predicted,795366.02016129,0.639410068092999,448539.97983871,1566.88911290467,0.00349330981257926,,
2,1243906,trend_past30days,2021-12-18,796932.909274195,predicted,796932.909274195,0.640669720440447,446973.090725806,1566.88911290467,0.00350555580507166,,
2,1243906,trend_past30days,2021-12-19,798499.798387095,predicted,798499.798387095,0.641929372787892,445406.201612905,1566.88911290094,0.0035178879576147,,
2,1243906,trend_past30days,2021-12-20,800066.6875,predicted,800066.6875,0.64318902513534,443839.3125,1566.88911290467,0.00353030718274796,,
2,1243906,trend_past30days,2021-12-21,801633.576612905,predicted,801633.576612905,0.644448677482788,442272.423387095,1566.88911290467,0.00354281440589223,,
2,1243906,trend_past30days,2021-12-22,803200.465725806,predicted,803200.465725806,0.645708329830233,440705.534274194,1566.88911290094,0.00355541056565464,,
2,1243906,trend_past30days,2021-12-23,804767.35483871,predicted,804767.35483871,0.646967982177681,439138.64516129,1566.88911290467,0.00356809661406404,,
2,1243906,trend_past30days,2021-12-24,806334.243951611,predicted,806334.243951611,0.648227634525126,437571.756048389,1566.88911290094,0.00358087351672595,,
2,1243906,trend_past30days,2021-12-25,807901.133064516,predicted,807901.133064516,0.649487286872574,436004.866935484,1566.88911290467,0.0035937422531949,,
2,1243906,trend_past30days,2021-12-26,809468.022177421,predicted,809468.022177421,0.650746939220022,434437.97782258,1566.88911290467,0.00360670381709716,,
2,1243906,trend_past30days,2021-12-27,811034.911290322,predicted,811034.911290322,0.652006591567467,432871.088709679,1566.88911290094,0.00361975921647157,,
2,1243906,trend_past30days,2021-12-28,812601.800403226,predicted,812601.800403226,0.653266243914915,431304.199596774,1566.88911290467,0.00363290947403144,,
2,1243906,trend_past30days,2021-12-29,814168.689516127,predicted,814168.689516127,0.65452589626236,429737.310483873,1566.88911290094,0.00364615562734515,,
2,1243906,trend_past30days,2021-12-30,815735.578629032,predicted,815735.578629032,0.655785548609808,428170.421370968,1566.88911290467,0.00365949872923873,,
2,1243906,trend_past30days,2021-12-31,817302.467741937,predicted,817302.467741937,0.657045200957256,426603.532258064,1566.88911290467,0.00367293984794485,,
3,556776,continued_trend,2021-04-08,136547.664722547,predicted,136547.664722547,0.245247037807928,420228.335277453,1424.06929203123,0.00338879883264177,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-04-12,142243.941890664,predicted,142243.941890664,0.255477861636752,414532.058109336,1424.06929203123,0.00343536588828944,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-20,109490.348173983,predicted,109490.348173983,0.196650624621003,447285.651826017,1424.06929203123,0.00318380275829898,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-25,116610.694634132,predicted,116610.694634132,0.209439154407036,440165.305365868,1424.06929203123,0.00323530563329505,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-04-10,139395.803306606,predicted,139395.803306606,0.25036244972234,417380.196693394,1424.06929203123,0.00341192347723518,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-24,115186.625342101,predicted,115186.625342101,0.206881448449827,441589.374657899,1424.06929203123,0.00322487218614456,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-02-28,81008.9623333886,predicted,81008.9623333886,0.145496505476868,475767.037666611,1424.06929203123,0.00299320713560894,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-04-09,137971.734014574,predicted,137971.734014574,0.247804743765131,418804.265985426,1424.0692920275,0.00340032183931255,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-18,106642.209589921,predicted,106642.209589921,0.191535212706584,450133.790410079,1424.0692920275,0.00316365783321922,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-04-11,140819.872598633,predicted,140819.872598633,0.252920155679543,415956.127401367,1424.0692920275,0.00342360455398072,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-04,86705.2395015061,predicted,86705.2395015061,0.155727329305692,470070.760498494,1424.0692920275,0.00302947856300895,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-21,110914.417466011,predicted,110914.417466011,0.199208330578205,445861.582533989,1424.0692920275,0.00319397173430824,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-22,112338.486758042,predicted,112338.486758042,0.201766036535415,444437.513241958,1424.06929203123,0.00320420587731969,2021-10-15,0.731211169677181
3,556776,continued_trend,2021-03-23,113762.55605007,predicted,113762.55605007,0.204323742492618,443013.44394993,1424.0692920275,0.00321450581573875,2021-10-15,0.731211169677181
